"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"697","2014-01-01 00:47:05","2014-01-01 00:58:42","479","9 Ave & W 45 St","40.76019252","-73.9912551","499","Broadway & W 60 St","40.76915505","-73.98191841","17607","Subscriber","1962","1"
"301","2014-01-01 00:47:15","2014-01-01 00:52:16","293","Lafayette St & E 8 St","40.73028666","-73.9907647","285","Broadway & E 14 St","40.73454567","-73.99074142","17837","Subscriber","1987","2"
"384","2014-01-01 00:47:18","2014-01-01 00:53:42","386","Centre St & Worth St","40.71494807","-74.00234482","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","15648","Subscriber","1972","1"
"769","2014-01-01 00:48:00","2014-01-01 01:00:49","402","Broadway & E 22 St","40.7403432","-73.98955109","128","MacDougal St & Prince St","40.72710258","-74.00297088","18218","Subscriber","1956","1"
"678","2014-01-01 00:48:28","2014-01-01 00:59:46","271","Ashland Pl & Hanson Pl","40.68528172","-73.97805813","396","Lefferts Pl & Franklin Ave","40.680342423","-73.9557689392","20249","Subscriber","1966","1"
"607","2014-01-01 00:48:59","2014-01-01 00:59:06","488","W 39 St & 9 Ave","40.75645824","-73.99372222","470","W 20 St & 8 Ave","40.74345335","-74.00004031","15570","Subscriber","1983","2"
"1086","2014-01-01 00:50:00","2014-01-01 01:08:06","524","W 43 St & 6 Ave","40.75527307","-73.98316936","237","E 11 St & 2 Ave","40.73047309","-73.98672378","19774","Subscriber","1986","1"
"467","2014-01-01 00:51:08","2014-01-01 00:58:55","335","Washington Pl & Broadway","40.72903917","-73.99404649","301","E 2 St & Avenue B","40.72217444","-73.98368779","14563","Subscriber","1971","2"
"474","2014-01-01 00:51:12","2014-01-01 00:59:06","335","Washington Pl & Broadway","40.72903917","-73.99404649","301","E 2 St & Avenue B","40.72217444","-73.98368779","15046","Subscriber","1970","1"
"434","2014-01-01 00:51:31","2014-01-01 00:58:45","284","Greenwich Ave & 8 Ave","40.7390169121","-74.0026376103","512","W 29 St & 9 Ave","40.7500727","-73.99839279","16114","Subscriber","1976","1"
"563","2014-01-01 00:51:43","2014-01-01 01:01:06","285","Broadway & E 14 St","40.73454567","-73.99074142","2012","E 27 St & 1 Ave","40.739445","-73.976806","16760","Subscriber","1987","1"
"755","2014-01-01 00:52:34","2014-01-01 01:05:09","514","12 Ave & W 40 St","40.76087502","-74.00277668","422","W 59 St & 10 Ave","40.770513","-73.988038","16466","Subscriber","1976","1"
"665","2014-01-01 00:52:36","2014-01-01 01:03:41","382","University Pl & E 14 St","40.73492695","-73.99200509","250","Lafayette St & Jersey St","40.72456089","-73.99565293","17486","Subscriber","1989","1"
"259","2014-01-01 00:52:51","2014-01-01 00:57:10","348","W Broadway & Spring St","40.72490985","-74.00154702","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","15713","Subscriber","1972","2"
"393","2014-01-01 00:53:37","2014-01-01 01:00:10","358","Christopher St & Greenwich St","40.73291553","-74.00711384","496","E 16 St & 5 Ave","40.73726186","-73.99238967","17518","Subscriber","1985","1"
"508","2014-01-01 00:53:56","2014-01-01 01:02:24","312","Allen St & E Houston St","40.722055","-73.989111","2009","Catherine St & Monroe St","40.71117444","-73.99682619","15140","Subscriber","1988","1"
"297","2014-01-01 00:54:19","2014-01-01 00:59:16","504","1 Ave & E 15 St","40.73221853","-73.98165557","317","E 6 St & Avenue B","40.72453734","-73.98185424","15988","Subscriber","1987","1"
"1794","2014-01-01 00:54:38","2014-01-01 01:24:32","511","E 14 St & Avenue B","40.72938685","-73.97772429","479","9 Ave & W 45 St","40.76019252","-73.9912551","18351","Subscriber","1979","1"
"1337","2014-01-01 00:55:26","2014-01-01 01:17:43","347","W Houston St & Hudson St","40.72873888","-74.00748842","72","W 52 St & 11 Ave","40.76727216","-73.99392888","14900","Subscriber","1981","2"
"1305","2014-01-01 00:55:35","2014-01-01 01:17:20","347","W Houston St & Hudson St","40.72873888","-74.00748842","72","W 52 St & 11 Ave","40.76727216","-73.99392888","21228","Subscriber","1983","1"
"379","2014-01-01 00:55:49","2014-01-01 01:02:08","366","Clinton Ave & Myrtle Ave","40.693261","-73.968896","373","Willoughby Ave & Walworth St","40.69331716","-73.95381995","18309","Subscriber","1980","2"
"346","2014-01-01 00:57:07","2014-01-01 01:02:53","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","330","Reade St & Broadway","40.71450451","-74.00562789","17496","Subscriber","1974","1"
"308","2014-01-01 00:57:11","2014-01-01 01:02:19","326","E 11 St & 1 Ave","40.72953837","-73.98426726","285","Broadway & E 14 St","40.73454567","-73.99074142","17820","Subscriber","1970","1"
"454","2014-01-01 00:57:34","2014-01-01 01:05:08","531","Forsyth St & Broome St","40.71893904","-73.99266288","511","E 14 St & Avenue B","40.72938685","-73.97772429","21068","Subscriber","1985","1"
"412","2014-01-01 00:57:41","2014-01-01 01:04:33","352","W 56 St & 6 Ave","40.76340613","-73.97722479","449","W 52 St & 9 Ave","40.76461837","-73.98789473","16259","Subscriber","1982","1"
"1756","2014-01-01 00:58:00","2014-01-01 01:27:16","225","W 14 St & The High Line","40.74195138","-74.00803013","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","21186","Customer",\N,"0"
"25792","2014-01-01 00:58:06","2014-01-01 08:07:58","225","W 14 St & The High Line","40.74195138","-74.00803013","229","Great Jones St","40.72743423","-73.99379025","16287","Customer",\N,"0"
