,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
125,2,2021-02-01 00:21:23,2021-02-01 01:05:08,1.0,18.37,2.0,N,132,142,1,52.0,0.0,0.5,5.0,0.0,0.3,60.3,2.5,
126,2,2021-02-01 00:58:00,2021-02-01 01:14:05,2.0,4.81,1.0,N,169,41,1,16.5,0.5,0.5,0.0,0.0,0.3,17.8,0.0,
127,2,2021-02-01 00:22:09,2021-02-01 00:29:59,1.0,2.19,1.0,N,230,113,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,
128,2,2021-02-01 00:03:17,2021-02-01 00:38:32,1.0,20.82,1.0,N,132,174,1,55.0,0.5,0.5,2.0,6.12,0.3,64.42,0.0,
129,2,2021-02-01 00:03:17,2021-02-01 00:10:19,1.0,0.79,1.0,N,236,262,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,
130,2,2021-02-01 00:19:09,2021-02-01 00:33:02,1.0,3.54,1.0,N,263,107,1,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5,
131,2,2021-02-01 00:16:49,2021-02-01 00:53:59,1.0,19.11,2.0,N,132,90,1,52.0,0.0,0.5,10.0,6.12,0.3,71.42,2.5,
132,2,2021-02-01 00:14:53,2021-02-01 00:43:40,1.0,15.15,1.0,N,132,223,1,41.5,0.5,0.5,8.56,0.0,0.3,51.36,0.0,
133,2,2021-02-01 00:52:06,2021-02-01 01:17:25,1.0,7.81,1.0,N,152,249,2,24.5,0.5,0.5,0.0,0.0,0.3,28.3,2.5,
134,1,2021-02-01 00:08:57,2021-02-01 00:58:55,0.0,17.8,2.0,N,132,140,1,52.0,2.5,0.5,13.8,0.0,0.3,69.1,2.5,
135,2,2021-01-31 23:59:05,2021-02-01 00:16:59,1.0,3.8,1.0,N,230,79,1,14.0,0.5,0.5,10.0,0.0,0.3,27.8,2.5,
136,2,2021-02-01 00:30:58,2021-02-01 00:36:48,2.0,1.32,1.0,N,230,50,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,
137,2,2021-02-01 00:49:10,2021-02-01 01:03:21,2.0,1.72,1.0,N,239,263,1,10.5,0.5,0.5,2.14,0.0,0.3,16.44,2.5,
138,2,2021-02-01 00:50:20,2021-02-01 00:57:00,1.0,1.22,1.0,N,137,79,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,
139,2,2021-02-01 00:08:07,2021-02-01 00:15:58,1.0,1.45,1.0,N,166,74,1,7.0,0.5,0.5,2.0,0.0,0.3,10.3,0.0,
140,2,2021-02-01 00:23:10,2021-02-01 00:45:58,1.0,4.6,1.0,N,238,142,2,18.0,0.5,0.5,0.0,0.0,0.3,21.8,2.5,
141,2,2021-02-01 00:36:25,2021-02-01 00:40:36,1.0,0.76,1.0,N,239,238,1,5.0,0.5,0.5,2.2,0.0,0.3,11.0,2.5,
142,2,2021-02-01 00:07:25,2021-02-01 00:13:54,1.0,2.48,1.0,N,107,232,2,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5,
143,2,2021-02-01 00:03:11,2021-02-01 00:09:27,1.0,0.94,1.0,N,186,230,2,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5,
144,2,2021-02-01 00:22:07,2021-02-01 00:24:54,1.0,0.5,1.0,N,68,48,1,4.0,0.5,0.5,1.17,0.0,0.3,8.97,2.5,
145,2,2021-02-01 00:26:53,2021-02-01 00:55:22,1.0,5.21,1.0,N,229,129,1,20.5,0.5,0.5,4.86,0.0,0.3,29.16,2.5,
146,2,2021-02-01 00:09:57,2021-02-01 00:50:58,6.0,15.92,1.0,N,186,81,2,45.5,0.5,0.5,0.0,0.0,0.3,49.3,2.5,
147,2,2021-02-01 22:18:30,2021-02-02 00:36:59,2.0,0.0,5.0,N,132,237,1,62.0,0.0,0.5,12.5,0.0,0.0,75.0,0.0,
148,1,2021-02-01 00:05:08,2021-02-01 00:12:18,1.0,2.8,1.0,N,88,232,2,9.5,3.0,0.5,0.0,0.0,0.3,13.3,2.5,
149,1,2021-02-01 00:33:53,2021-02-01 00:56:10,1.0,5.8,1.0,N,90,75,1,19.5,3.0,0.5,5.8,0.0,0.3,29.1,2.5,
150,2,2021-02-01 00:25:49,2021-02-01 00:49:41,1.0,4.47,1.0,N,148,40,1,17.0,0.5,0.5,6.24,0.0,0.3,27.04,2.5,
151,1,2021-02-01 00:21:59,2021-02-01 00:25:34,1.0,0.6,1.0,N,162,161,1,4.5,3.0,0.5,1.7,0.0,0.3,10.0,2.5,
152,1,2021-02-01 00:37:42,2021-02-01 01:19:15,1.0,11.9,1.0,Y,162,121,1,38.5,3.0,0.5,0.0,0.0,0.3,42.3,2.5,
153,2,2021-02-01 00:20:38,2021-02-01 00:57:11,1.0,4.53,1.0,N,88,189,1,24.5,0.5,0.5,7.08,0.0,0.3,35.38,2.5,
154,2,2021-02-01 00:22:55,2021-02-01 00:33:45,1.0,1.69,1.0,N,148,234,2,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5,
155,2,2021-02-01 00:41:16,2021-02-01 01:02:17,1.0,7.77,1.0,N,68,42,2,25.0,0.5,0.5,0.0,0.0,0.3,28.8,2.5,
156,2,2021-02-01 00:19:54,2021-02-01 00:34:12,1.0,2.09,1.0,N,239,50,2,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5,
157,2,2021-02-01 00:50:08,2021-02-01 00:56:31,1.0,1.25,1.0,N,186,68,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,
158,2,2021-02-01 00:03:31,2021-02-01 00:08:09,2.0,1.09,1.0,N,236,75,1,5.5,0.5,0.5,2.0,0.0,0.3,11.3,2.5,
159,2,2021-02-01 00:12:51,2021-02-01 00:25:05,2.0,4.07,1.0,N,236,113,1,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5,
